Index,y_test,predictions
1,170835.03571295898,169945.15315810073
2,126913.4699981214,169945.15315810073
3,246611.88309182983,264361.7012337995
4,244250.4629690432,264361.7012337995
5,271127.6501116246,264361.7012337995
6,189289.9511990212,264361.7012337995
7,343510.5765001611,264361.7012337995
8,203461.5910795533,169945.15315810073
9,285903.24768197787,264361.7012337995
10,224868.95837545165,264361.7012337995
11,81837.22299935612,169945.15315810073
12,174511.50116526094,169945.15315810073
13,279132.816803943,264361.7012337995
14,365341.8285613511,264361.7012337995
15,105776.8433794133,169945.15315810073
16,244495.14408928296,264361.7012337995
17,295600.8975410435,264361.7012337995
18,250417.95717935625,264361.7012337995
19,255727.46591835437,169945.15315810073
20,294438.56480623106,264361.7012337995
21,234186.18665983903,169945.15315810073
22,178426.64533694333,169945.15315810073
23,266521.92740215774,264361.7012337995
24,365803.3257222817,264361.7012337995
25,297495.3400506958,264361.7012337995
26,171110.53422585066,264361.7012337995
27,261810.04680912095,264361.7012337995
28,263890.30574846204,264361.7012337995
29,252701.9257618471,264361.7012337995
30,336544.9397008289,264361.7012337995
31,272837.4442669656,264361.7012337995
32,153373.54263245355,169945.15315810073
33,259548.35688021692,264361.7012337995
34,325137.92978698824,264361.7012337995
35,313782.925235117,264361.7012337995
36,399364.16133819486,264361.7012337995
37,169902.66065311502,264361.7012337995
38,137418.01690928568,169945.15315810073
39,236858.07769060525,169945.15315810073
40,297986.0177875241,264361.7012337995
41,180421.6432266356,169945.15315810073
42,235505.81619264628,264361.7012337995
43,218129.3284139029,169945.15315810073
44,142245.8235589112,169945.15315810073
45,178227.34879919383,169945.15315810073
46,279740.8264837475,264361.7012337995
47,308901.44316800043,264361.7012337995
48,157985.60441625855,169945.15315810073
49,299081.38115130085,264361.7012337995
50,185025.8930183564,264361.7012337995
51,174649.83735311468,169945.15315810073
52,221942.9771453401,169945.15315810073
53,351824.7360433196,264361.7012337995
54,231158.31648592275,264361.7012337995
55,194484.73945627516,169945.15315810073
56,119246.9176415724,169945.15315810073
57,245213.40877802268,264361.7012337995
58,114731.35160131069,169945.15315810073
59,200265.31994712885,264361.7012337995
60,145505.5361932352,169945.15315810073
61,74239.92963583849,169945.15315810073
62,255596.0404676911,264361.7012337995
63,222142.76385958368,264361.7012337995
64,186981.87726197945,169945.15315810073
65,361266.9325964312,264361.7012337995
66,131563.8176787726,264361.7012337995
67,282945.3869199111,264361.7012337995
68,257726.21805792517,264361.7012337995
69,206038.5147594445,169945.15315810073
70,197445.62571634675,169945.15315810073
71,197314.0156439332,169945.15315810073
72,260287.4778157696,264361.7012337995
73,217059.01602106963,264361.7012337995
74,320388.55753953435,264361.7012337995
75,77633.3601158204,169945.15315810073
76,214197.38241749236,264361.7012337995
77,358335.65548386105,264361.7012337995
78,338446.13281628845,264361.7012337995
79,297863.51351668924,264361.7012337995
80,204032.17145066956,169945.15315810073
81,279840.9266521856,264361.7012337995
82,34047.264451814,169945.15315810073
83,283000.10166229634,264361.7012337995
84,227108.80129208192,264361.7012337995
85,249220.62797658503,264361.7012337995
86,212267.61748692076,264361.7012337995
87,442920.6581655856,264361.7012337995
88,254015.27447617252,264361.7012337995
89,292519.577483654,264361.7012337995
90,181020.50551918068,169945.15315810073
91,273291.53775578726,264361.7012337995
92,212828.0573970147,169945.15315810073
93,152254.71975016905,169945.15315810073
94,358319.24568312895,264361.7012337995
95,325896.7947508447,264361.7012337995
96,152033.9592113413,169945.15315810073
